URL,Endereço,Tipo/Área,Características,Preço,Metragem,Quartos,Creci
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-216-1202175,"SQS 216, ASA SUL, BRASILIA",,SQS 216 - VAZADO COM VISTA PARA O BOSQUE,R$ 2.499.000,162 m²,3 Quartos,21418
https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-sul-brasilia-df-sqs-108-1207799,"SQS 108, ASA SUL, BRASILIA",,SQS 108 2 QUARTOS REFORMADO!,R$ 1.100.000,90 m²,2 Quartos,26760PJ
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-204-1151053,"SQS 204, ASA SUL, BRASILIA",,"APARTAMENTO À VENDA NA ASA SUL , NA SQS 204 - COM 120M², MOBILIADO E PRONTO PARA MORAR!",R$ 1.530.000,120 m²,3 Quartos,21418
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-114-1216872,"SQS 114, ASA SUL, BRASILIA",,"SQS 114, APARTAMENTO À VENDA TOTALMENTE REFORMADO, MEIO DE QUADRA, 3 QUARTOS, ASA SUL, BRASÍLIA, DF",R$ 2.800.000,157 m²,3 Quartos,3545
https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-sul-brasilia-df-sqs-308-1128276,"SQS 308, ASA SUL, BRASILIA",,"OPORTUNIDADE ÚNICA! APARTAMENTO EXCLUSIVO NA SQS 308 - ANDAR ALTO, MOBILIADO",R$ 2.499.999,115 m²,2 Quartos,23649
https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-sul-brasilia-df-sqs-109-1161643,"SQS 109, ASA SUL, BRASILIA",,SQS 109 - APARTAMENTO COM 4 QUARTOS SENDO 1 SUÍTE - ACEITA FINANCIAMENTO - ASA SUL,R$ 2.250.000,148 m²,4 Quartos,CJ1704
https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-sul-brasilia-df-sqs-310-bloco-i-1083358,"SQS 310 Bloco I, ASA SUL, BRASILIA",,VIA LOUVRE PRÉDIO NOVO NA ASA SUL - VISTA LIVRE PERMANENTE - PRIVACIDADE,R$ 8.800.000,470 m²,4 Quartos,28710
https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-sul-brasilia-df-sqs-306-1232668,"SQS 306, ASA SUL, BRASILIA",,APARTAMENTO DE 4 QUARTOS NA SQS 306 - ASA SUL,R$ 1.495.000,154 m²,4 Quartos,21418
https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-sul-brasilia-df-sces-trecho-4-1193049,"SCES Trecho 4, ASA SUL, BRASILIA",,SCES TRECHO 4 ASA SUL - MOBILIADO COM VARANDA | VISTA NASCENTE | ACESSO DIRETO AO LAGO,R$ 1.170.000,55 m²,1 Quarto,7240
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-109-bloco-e-1178383,"SQS 109 Bloco E, ASA SUL, BRASILIA",,VISTA LIVRE - NASCENTE - REFORMADO - DE CANTO,R$ 2.320.000,159 m²,3 Quartos,17097
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-313-bloco-i-1209650,"SQS 313 Bloco I, ASA SUL, BRASILIA",,SQS 313 - APARTAMENTO COM 3 QUARTOS - 1 SUÍTE - 1 VAGA - ACEITA FINANCIAMENTO - ASA SUL,R$ 1.750.000,119 m²,3 Quartos,CJ1704
https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-sul-brasilia-df-sqs-313-1193053,"SQS 313, ASA SUL, BRASILIA",,VIVA COM ELEGÂNCIA E EXCLUSIVIDADE NO CORAÇÃO DA ASA SUL SQS 313,R$ 3.100.000,238 m²,4 Quartos,21418
https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-sul-brasilia-df-sqs-203-bloco-g-1138750,"SQS 203 Bloco G, ASA SUL, BRASILIA",,GENÈVE,R$ 4.090.000,300 m²,4 Quartos,24.900
https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-sul-brasilia-df-sqs-306-bloco-h-1144490,"SQS 306 Bloco H, ASA SUL, BRASILIA",,APARTAMENTO DE 4 QUARTOS NA SQS 306 - ASA SUL,R$ 1.495.000,154 m²,4 Quartos,26903
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-114-1217751,"SQS 114, ASA SUL, BRASILIA",,SQS 114 - APARTAMENTO MOBILIADO,R$ 2.800.000,157 m²,3 Quartos,27235
https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-sul-brasilia-df-sqs-313-bloco-h-1189886,"SQS 313 Bloco H, ASA SUL, BRASILIA",,APARTAMENTO 4 QUARTOS | ASA SUL | 237M² | VAZADO | 2 VAGAS,R$ 3.190.000,237 m²,4 Quartos,25286
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-216-bloco-e-1123748,"SQS 216 Bloco E, ASA SUL, BRASILIA",,APARTAMENTO NA ASA SUL,R$ 2.490.000,162 m²,3 Quartos,23698
https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-sul-brasilia-df-sces-trecho-4-1168375,"SCES Trecho 4, ASA SUL, BRASILIA",,RESERVA ORLA VISTA PARA O LAGO,R$ 2.492.000,80 m²,2 Quartos,32801
https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-sul-brasilia-df-sqs-402-bloco-j-1090367,"SQS 402 Bloco J, ASA SUL, BRASILIA",,SQS 402 - VAZADO E DESOCUPADO!!!,R$ 770.000,72 m²,2 Quartos,11957
https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-sul-brasilia-df-sqs-312-1235740,"SQS 312, ASA SUL, BRASILIA",,"- 2 QUARTOS, 1 SUÍTE, REFORMADO COM ASSINATU",R$ 1.110.000,60 m²,2 Quartos,25942
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-308-1209626,"SQS 308, ASA SUL, BRASILIA",,APARTAMENTO 03 QUARTOS - ANDAR ALTO - ASA SUL - EM REFORMA!,R$ 2.700.000,157 m²,3 Quartos,17097
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-416-1232290,"SQS 416, ASA SUL, BRASILIA",,SQS 416 - REFORMADO - VAZADO - COM ELEVADOR!!,R$ 1.200.000,90 m²,3 Quartos,26787
https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-sul-brasilia-df-sqs-116-bloco-h-1207854,"SQS 116 Bloco H, ASA SUL, BRASILIA",,OPORTUNIDADE EXCLUSIVA NA SQS 116,R$ 11.580.230,428 m²,4 Quartos,6988
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-313-1228803,"SQS 313, ASA SUL, BRASILIA",,IMOBILIÁRIA ASA SUL -APARTAMENTO ASA SUL À VENDA,R$ 1.750.000,119 m²,3 Quartos,21418
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-104-1217316,"SQS 104, ASA SUL, BRASILIA",,SQS 104 SUL 4 QUARTOS NASCENTE ANDAR ALTO COM VAGA,R$ 1.660.000,156 m²,3 Quartos,26288
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-215-bloco-d-1234116,"SQS 215 Bloco D, ASA SUL, BRASILIA",,COM EXCLUSIVIDADE - TODO REFORMADO - VISTA LIVRE - ANDAR ALTO,R$ 1.890.000,119 m²,3 Quartos,19812
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-207-bloco-d-743645,"SQS 207 Bloco D, ASA SUL, BRASILIA",,APARTAMENTO À VENDA NA ASA SUL - 3 QUARTOS SENDO 1 SUÍTE - ANDAR ALTO - COM 1 VAGA NA GARAGEM,R$ 2.300.000,163 m²,3 Quartos,8714
https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-sul-brasilia-df-sqs-207-bloco-h-1239695,"SQS 207 Bloco H, ASA SUL, BRASILIA",,"EXCELENTE LOCALIZAÇÃO, DE CANTO, REFORMA MODERNA!",R$ 1.550.000,108 m²,2 Quartos,26134
https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-sul-brasilia-df-sqs-210-1236929,"SQS 210, ASA SUL, BRASILIA",,"ACONCHEGANTE APARTAMENTO DE CANTO, COM DOIS QUARTOS E VISTA LIVRE NA SQS 210!!",R$ 1.150.000,76 m²,2 Quartos,21418
https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-sul-brasilia-df-sqs-109-1226332,"SQS 109, ASA SUL, BRASILIA",,"SQS 109 , CANTO ,ANDAR ALTO , REFORMADO, EXCELENTE PLANTA, ACEITA PERMUTA",R$ 2.250.000,148 m²,4 Quartos,21418
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-413-1233589,"SQS 413, ASA SUL, BRASILIA",,VAZADO - SUÍTE,R$ 790.000,62 m²,3 Quartos,17097
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-303-bloco-k-1199113,"SQS 303 Bloco K, ASA SUL, BRASILIA",,SQS 303 - 110M² - 03 QUARTOS - 01 SUÍTE - LOCALIZAÇÃO PRIVILEGIADA - ASA SUL,R$ 1.495.000,110 m²,3 Quartos,13374
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-416-1233516,"SQS 416, ASA SUL, BRASILIA",,À VENDA: APARTAMENTO 3 QUARTOS NA 416 SUL - VAZADO E PRONTO PARA MORAR!,R$ 900.000,112 m²,3 Quartos,21418
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-211-1208953,"SQS 211, ASA SUL, BRASILIA",,"OPORTUNIDADE PARA QUEM DESEJA VIVER EM UMA DAS QUADRAS MAIS CHARMOSAS, DESEJADAS E VALORIZADAS DA AS",R$ 2.050.000,126 m²,3 Quartos,21418
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-211-bloco-b-1160429,"SQS 211 Bloco B, ASA SUL, BRASILIA",,SQS 211 BLOCO B ASA SUL SQS 211 BLOCO B APARTAMENTO À VENDA REFORMADO VAZADO NASCENTE ASA SUL,R$ 2.050.000,126 m²,3 Quartos,23439
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-407-bloco-a-1225137,"SQS 407 Bloco A, ASA SUL, BRASILIA",,"REFORMADO, VAZADO, ESCRITÓRIO, NASCENTE, VISTA LIVRE!",R$ 990.000,85 m²,3 Quartos,26134
https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-sul-brasilia-df-sqs-311-1223869,"SQS 311, ASA SUL, BRASILIA",,APARTAMENTO SQS 311 ASA SUL 4 QUARTOS 2 SUÍTES VAZADO VARANDAS NASCENTE 3 VAGAS COBERTURA COLETIVA,R$ 2.900.000,208 m²,4 Quartos,0025854
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-405-1219440,"SQS 405, ASA SUL, BRASILIA",,IMOBILIÁRIA ASA SUL -APARTAMENTO ASA SUL À VENDA,R$ 950.000,67 m²,3 Quartos,21418
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-116-1199204,"SQS 116, ASA SUL, BRASILIA",,"APARTAMENTO À VENDA NA 116 SUL - AMPLO, REFORMADO E COM VISTA LIVRE!",R$ 1.500.000,106 m²,3 Quartos,21418
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-304-1208958,"SQS 304, ASA SUL, BRASILIA",,"DESCUBRA O VERDADEIRO SIGNIFICADO DE VIVER COM CONFORTO, E LOCALIZAÇÃO PRIVILEGIADA COM ESTE AMPLO A",R$ 1.650.000,137 m²,3 Quartos,21418
https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-sul-brasilia-df-sqs-407-1201721,"SQS 407, ASA SUL, BRASILIA",,APARTAMENTO À VENDA - 2 QUARTOS + DCE COMPLETA,R$ 800.000,60 m²,2 Quartos,21418
https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-sul-brasilia-df-sqs-315-bloco-h-1160264,"SQS 315 Bloco H, ASA SUL, BRASILIA",,"BLOCO H APARTAMENTO VAZADO, 3 SUÍTES, 2 VAGAS COBERTAS E SOLTAS.",R$ 2.800.000,215 m²,4 Quartos,15343
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-106-1187968,"SQS 106, ASA SUL, BRASILIA",,APARTAMENTO SQS 106 ASA SUL 3 QUARTOS SUÍTE REFORMADO NASCENTE VAZADO ALTO VISTA MEIO CANTO,R$ 1.850.000,166 m²,3 Quartos,0025854
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-304-1180037,"SQS 304, ASA SUL, BRASILIA",,APARTAMENTO SQS 304 ASA SUL 3 QUARTOS 2 BANHEIROS NASCENTE VISTA LIVRE MEIO DE QUADRA,R$ 1.650.000,143 m²,3 Quartos,0025854
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-306-1174070,"SQS 306, ASA SUL, BRASILIA",,"3 QUARTOS, COM 154M², NASCENTE, ANDAR ALTO, VAZADO, IMPERDÍV NASCENTE, ANDAR ALTO, VAZADO",R$ 1.580.000,154 m²,3 Quartos,25942
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-208-1173872,"SQS 208, ASA SUL, BRASILIA",,SQS 208 - APARTAMENTO COM 3 QUARTOS - 1 SUÍTE - 1 VAGA - ACEITA FINANCIAMENTO E FGTS - ASA SUL,R$ 1.500.000,110 m²,3 Quartos,CJ1704
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-102-bloco-j-1109954,"SQS 102 Bloco J, ASA SUL, BRASILIA",,"SQS 102 - 3 QUARTOS, VISTA LIVRE, 112M², SUÍTE COM HIDRO E LAZER!",R$ 1.450.000,112 m²,3 Quartos,29560
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-211-1166599,"SQS 211, ASA SUL, BRASILIA",,APARTAMENTO SQS 211 ASA SUL 126M² 3 QUARTOS 1 SUÍTE 1 VAGA NASCENTE VAZADO VISTA,R$ 2.050.000,126 m²,3 Quartos,0025854
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-306-953609,"SQS 306, ASA SUL, BRASILIA",,SQS 306 -3 QUARTOS - NASCENTE - VISTA LIVRE - REFORMADO,R$ 2.500.000,178 m²,3 Quartos,21418
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-210-bloco-k-1025009,"SQS 210 Bloco K, ASA SUL, BRASILIA",,COMPLETAMENTE REFORMADO COM ISOLAMENTO ACÚSTICO!,R$ 1.350.000,100 m²,3 Quartos,25859
https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-sul-brasilia-df-sqs-109-bloco-d-977780,"SQS 109 Bloco D, ASA SUL, BRASILIA",,SQS 109 - ASA SUL - VISTA LIVRE,R$ 2.200.000,131 m²,4 Quartos,17097
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-shigs-714-bloco-q-1176512,"SHIGS 714 Bloco Q, ASA SUL, BRASILIA",,,R$ 1.190.000,125 m²,3 Quartos,26606
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-415-bloco-s-1180832,"SQS 415 Bloco S, ASA SUL, BRASILIA",,,R$ 947.000,78 m²,3 Quartos,3506
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-404-bloco-g-1239746,"SQS 404 Bloco G, ASA SUL, BRASILIA",,MODERNO - AR CONDICIONADO,R$ 1.050.000,116 m²,3 Quartos,17097
https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-sul-brasilia-df-sqs-210-1236516,"SQS 210, ASA SUL, BRASILIA",,"VISTA LIVRE, ANDAR ALTO",R$ 1.100.000,75 m²,2 Quartos,17097
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-416-bloco-s-1235952,"SQS 416 Bloco S, ASA SUL, BRASILIA",,,R$ 897.000,112 m²,3 Quartos,30647
https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-sul-brasilia-df-sqs-404-bloco-o-1179424,"SQS 404 Bloco O, ASA SUL, BRASILIA",,", VIA ÔMEGA SQS 404 | APARTAMENTO DUPLEX, FUNCIONAL A VENDA NA ASA SUL COM 52M².",R$ 805.000,52 m²,1 Quarto,3277
https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-sul-brasilia-df-sqs-302-bloco-d-1229358,"SQS 302 Bloco D, ASA SUL, BRASILIA",,"APARTAMENTO COM 4 QUARTOS SENDO 1 SUÍTE NA SQS 302 – ASA SUL, BRASÍLIA",R$ 2.216.000,164 m²,4 Quartos,22714
https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-sul-brasilia-df-sqs-116-1227564,"SQS 116, ASA SUL, BRASILIA",,VAGA DE GARAGEM - ÁREA DE LAZER - SQS 116,R$ 1.160.000,66 m²,2 Quartos,17097
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-102-1220785,"SQS 102, ASA SUL, BRASILIA",,"SQS 102, APARTAMENTO VAZADO À VENDA COM 3 QUARTOS, ASA SUL, BRASÍLIA, DF",R$ 1.790.000,155 m²,3 Quartos,3545
https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-sul-brasilia-df-sqs-311-bloco-e-1210439,"SQS 311 Bloco E, ASA SUL, BRASILIA",,"2 QUARTOS EM ÁREA NOBRE DE BRASÍLIA COM CONFORTO, PRIVACIDADE E LOCALIZAÇÃO PRIVILEGIADA",R$ 1.200.000,85 m²,2 Quartos,17097
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-304-1209057,"SQS 304, ASA SUL, BRASILIA",,"BL J SQS 304 - ANDAR ALTO, DE CANTO, VAZADO, REFORMADO E VISTA LIVRE!",R$ 2.200.000,178 m²,3 Quartos,11476
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-304-1169152,"SQS 304, ASA SUL, BRASILIA",,SQS 304 - APARTAMENTO COM 3 QUARTOS - 1 SUÍTE - ACEITA FINANCIAMENTO - ASA SUL,R$ 1.650.000,134 m²,3 Quartos,CJ1704
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-304-1195647,"SQS 304, ASA SUL, BRASILIA",,SQS 304 - 03 QUARTOS - 140M² - NASCENTE - DCE - ANDAR ALTO,R$ 1.650.000,140 m²,3 Quartos,27235
https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-sul-brasilia-df-sqs-206-bloco-k-1177189,"SQS 206 Bloco K, ASA SUL, BRASILIA",,APARTAMETO,R$ 1.395.000,118 m²,4 Quartos,26606
https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-sul-brasilia-df-sqs-411-bloco-v-1050616,"SQS 411 Bloco V, ASA SUL, BRASILIA",,SQS 411 BLOCO V,R$ 575.000,43 m²,2 Quartos,22672
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-113-1173908,"SQS 113, ASA SUL, BRASILIA",,"NASCENTE, ANDAR ALTO, VAZADO",R$ 2.100.000,154 m²,3 Quartos,29306
https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-sul-brasilia-df-sqs-313-bloco-h-1176983,"SQS 313 Bloco H, ASA SUL, BRASILIA",,APARTAMENTO 4 QUARTOS - SQS 313,R$ 3.100.000,210 m²,4 Quartos,17097
https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-sul-brasilia-df-sqs-210-1176895,"SQS 210, ASA SUL, BRASILIA",,EXCELENTE APARTAMENTO VISTA LIVRE!,R$ 1.100.000,75 m²,2 Quartos,8666
https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-sul-brasilia-df-sqs-109-709709,"SQS 109, ASA SUL, BRASILIA",,"OPORTUNIDADE - APT. ELEGANTE, ALTO NÍVEL, 04 QUARTOS, LOCAL NOBRE NA ASA SUL",R$ 2.250.000,148 m²,4 Quartos,9548
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-113-bloco-k-1108123,"SQS 113 Bloco K, ASA SUL, BRASILIA",,"FRENTE AO EIXO W, BLOCO K EXCELENTE ESTADO DE CONSERVAÇÃO",R$ 1.829.000,154 m²,3 Quartos,29543
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-109-933970,"SQS 109, ASA SUL, BRASILIA",,,R$ 1.450.000,136 m²,3 Quartos,26907
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-416-877103,"SQS 416, ASA SUL, BRASILIA",,SQN 416 APARTAMENTO REFORMADO COM VISTA LIVRE,R$ 795.000,77 m²,3 Quartos,11983
https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-sul-brasilia-df-sqs-114-bloco-a-223769,"SQS 114 Bloco A, ASA SUL, BRASILIA",,"APARTAMENTO COM 4 DORMITÓRIOS À VENDA, 200 M² POR R$ 2.590.000,00 - ASA SUL - BRASÍLIA/DF",R$ 2.590.000,200 m²,4 Quartos,6988
https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-sul-brasilia-df-sqs-207-bloco-j-1235658,"SQS 207 Bloco J, ASA SUL, BRASILIA",,APARTAMENTO À VENDA NA SQS 207 - ASA SUL | 2 QUARTOS + ESCRITÓRIO + DCE COMPLETA | NASCENTE E DE CAN,R$ 1.450.000,108 m²,2 Quartos,26291
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-216-1188594,"SQS 216, ASA SUL, BRASILIA",,,R$ 2.300.000,168 m²,3 Quartos,25136
https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-sul-brasilia-df-sqs-206-998144,"SQS 206, ASA SUL, BRASILIA",,SQS 206 LINDÍSSIMO APARTAMENTO!!!,R$ 1.950.000,155 m²,4 Quartos,11983
https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-sul-brasilia-df-sqs-308-bloco-a-1211302,"SQS 308 Bloco A, ASA SUL, BRASILIA",,MELHOR QUADRA DA ASA SUL,R$ 2.490.000,157 m²,4 Quartos,15997
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-204-bloco-j-1220741,"SQS 204 Bloco J, ASA SUL, BRASILIA",,NASCENTE - SQS 204 COM 120 M2 - 3 QUARTOS (1 SUÍTE) VISTA LIVRE - FINANCIAMENTO E FGTS,R$ 1.399.999,120 m²,3 Quartos,22905
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-114-bloco-g-863067,"SQS 114 Bloco G, ASA SUL, BRASILIA",,DUAS SUÍTES VISTA LIVRE - ANDAR ALTO - REFORMA ESPETACULAR E RECENTE 123456,R$ 2.500.000,157 m²,3 Quartos,10856
https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-sul-brasilia-df-sqs-211-609964,"SQS 211, ASA SUL, BRASILIA",,EXCLUSIVIDADE E LUXO NA SQS 211: COBERTURA IMPECÁVEL NO CORAÇÃO DE BRASÍLIA!,R$ 22.000.000,834 m²,4 Quartos,25040
https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-sul-brasilia-df-sqs-410-1208954,"SQS 410, ASA SUL, BRASILIA",,GRANDE OPORTUNIDADE NA 410 SUL!,R$ 820.000,55 m²,2 Quartos,21418
